Nome: TRAMANDAI;;;;;;;;;;
Codigo Estacao: A834;;;;;;;;;;
Latitude: -30.01027777;;;;;;;;;;
Longitude: -50.13583333;;;;;;;;;;
Altitude: 4.56;;;;;;;;;;
Situacao: Operante;;;;;;;;;;
Data Inicial: 2011-01-01;;;;;;;;;;
Data Final: 2023-12-31;;;;;;;;;;
Periodicidade da Medicao: Diaria;;;;;;;;;;
;;;;;;;;;;
Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
13/01/2011;.6;1005;20.1;26.7;24;21.7;79.3;67;11;5.9
14/01/2011;1;1007.5;21.6;27.8;24.5;22;84;72;9.3;3.7
15/01/2011;.8;1009.9;21.5;27.3;24.3;22.8;84.8;72;9.5;5.5
16/01/2011;0;1006.6;20.6;26.6;23.6;21.1;83.8;74;12.2;5.8
17/01/2011;0;1007.1;20.7;29.4;23.8;20.5;83.6;63;10.1;2.7
18/01/2011;2.4;1010.7;21.3;26.3;23;21.4;89.9;85;10;2.2
19/01/2011;17.6;1007.6;21.4;26.5;23.2;21.3;89.8;79;6;2.1
20/01/2011;.4;1007.7;21.8;27.6;24.2;21.3;86.8;75;5.9;2.1
21/01/2011;0;1012.4;21.4;27.7;24.8;23.1;81.5;72;10;4.4
22/01/2011;5.4;1012.3;21.8;25.6;23.6;23.1;89.4;75;11.8;4
23/01/2011;23;1012.6;21.4;29.3;24.2;21.6;85;65;11.6;3.7
24/01/2011;0;1013;21.5;27.8;24.2;21.4;85.2;70;5.8;1.9
25/01/2011;0;1011.3;23.1;29.3;25.8;22.7;85.7;74;6.5;2
26/01/2011;0;1009.4;23;28.7;25.8;23.9;84.8;74;9.6;4.2
27/01/2011;.2;1007.5;22.4;33.7;26.1;22.4;81.5;51;9.6;2.2
28/01/2011;1.4;1009.1;22.9;32.9;26.4;23.8;81.8;57;15.1;1.8
29/01/2011;7.8;1013.1;23.3;29.4;26.1;23.7;85.2;74;6.7;2.1
30/01/2011;.8;1015.1;21;28.7;25.9;24.5;74.5;64;9.2;4.6
31/01/2011;0;1010.8;20.9;28.4;25.9;23.9;74.5;64;12.4;6.9
01/02/2011;9;1010.4;21.3;27.5;24.3;23.4;83.9;69;11.8;4.2
02/02/2011;.4;1015.5;17.7;26.7;23.1;19.2;73;55;10.4;4.3
03/02/2011;0;1013.2;19;27.6;25.2;23.1;68.7;57;14.7;6.8
04/02/2011;0;1008;22.5;28.3;25.1;23.3;86;74;10.9;4.2
05/02/2011;0;1006.4;22.7;29.3;25.1;22.6;87;72;7.9;1.7
06/02/2011;1.4;1010.8;22.3;28.8;25.1;23.8;84.4;71;11.9;3.8
07/02/2011;0;1012.8;22.2;27.2;24.9;24.2;85.1;78;13.7;6
08/02/2011;1;1008.7;23.4;26.6;25.1;24.1;90.3;85;8.1;3.4
09/02/2011;2.2;1004.4;22.8;30.4;25.7;24.4;84.1;62;13.4;2.6
10/02/2011;9.8;1006.3;21.5;26.8;24.1;22.6;85.9;73;9.4;3.2
11/02/2011;10.6;1011;19.4;26.3;24;21.5;76.1;68;5.3;2.1
12/02/2011;.2;1010;21.7;25.7;23.9;22.6;87.5;71;11.6;4.7
13/02/2011;14.2;1008.6;21.4;25.2;23.6;22.6;87.4;76;10.4;3.9
14/02/2011;10.4;1015;19;27.6;23.2;19.3;78.1;62;10.8;3.4
15/02/2011;0;1017.1;16;26.5;24;22.2;61.2;50;11.1;5.5
16/02/2011;0;1016.5;20.1;27.2;24.9;23.3;75.3;63;13.2;8.7
17/02/2011;1.2;1016.1;22.2;28.1;25.4;22.4;82.4;73;13.5;6.6
18/02/2011;1;1014.6;21.7;28.1;25.7;23.1;79;67;11.7;3.8
19/02/2011;0;1012.9;22.6;29;26;22.7;81.8;71;7.8;2.5
20/02/2011;0;1013.3;23.3;29.4;26;23.8;85.3;72;8.7;3.2
21/02/2011;17.8;1014.3;22;29.2;26.2;24.4;78.3;67;8.2;3.5
22/02/2011;1.4;1012;21.5;26.4;24.3;23.2;84.6;75;8.1;1.9
23/02/2011;4.4;1009.1;20.9;25.2;24.1;22.5;82.6;75;14.2;8.1
24/02/2011;19.8;1006.9;21.5;28;24.2;22;84.9;73;16.6;6.1
25/02/2011;1;1009;22.5;27.5;24.5;22.9;89;77;10.1;3.8
26/02/2011;5.4;1010.4;21.6;27.7;23.9;22.6;87.1;74;12.1;3.4
27/02/2011;.4;1013.7;19.6;27.8;23.7;20.3;78.5;60;8.5;3.1
28/02/2011;.2;1015;17.4;27.2;24.3;22.2;65.6;53;8;4.3
01/03/2011;0;1015.9;17.1;26.2;23.8;22.9;66.3;55;10.6;6.6
02/03/2011;0;1017;17.2;25.7;23.8;22.6;66.6;54;13;8.8
03/03/2011;0;1017.3;17.9;26.9;24.3;22.8;67.7;58;14.2;7.6
04/03/2011;0;1017.2;19.3;27;23.7;21.3;76.5;64;13.2;5.2
05/03/2011;5.8;1017.4;19.4;25.7;22.9;20.8;80.6;70;11.4;5.1
06/03/2011;.6;1015.5;19.2;26.3;23.3;20.7;77.7;68;11.6;5.4
07/03/2011;0;1014.8;19.8;25.8;23.2;21.4;81.3;73;11.1;5.6
08/03/2011;0;1015.5;19.9;25.9;22.7;20.6;84.8;72;9.5;4.9
09/03/2011;.4;1013.6;20.5;26.2;null;20.6;88.8;75;12.2;5
10/03/2011;null;1012.9;20.2;24.1;21.8;21;91.2;79;19.2;6
11/03/2011;8.4;1013.4;19.2;23;20.7;19.6;91.1;82;11;4.7
12/03/2011;.4;1011.3;19.4;23;20.6;19.5;92.7;86;14.5;5.7
13/03/2011;.2;1007.9;19.2;24.2;20.9;18.7;89.7;79;12.8;4.5
14/03/2011;0;1011.5;15.4;22.3;19.7;18.8;76.5;60;11.8;3.6
15/03/2011;0;1015.5;14.9;24.7;19.2;14.6;77.9;41;7;2.4
16/03/2011;.4;1016.8;18.6;24.8;21.8;18.3;82.6;69;8.8;3.6
17/03/2011;.2;1012.1;18.7;24.7;22;20.4;82.3;70;10.3;6
18/03/2011;0;1011.3;19.1;24.3;20.9;19.8;89.4;82;11.1;3.1
19/03/2011;4;1018.5;14.6;24.1;20;14.9;72.7;45;7.5;3
20/03/2011;.2;1019.3;16.2;23.7;20.9;17.4;74.8;64;10.4;4.7
21/03/2011;0;1016.8;17.4;23.8;21.3;19.4;78.3;67;12.7;6.4
22/03/2011;0;1014.6;18.6;24.4;21.5;19.9;84;72;11.8;6.3
23/03/2011;0;1012.8;18.6;24.1;21;18.9;86.3;74;10.9;4.9
24/03/2011;0;1012.2;19;27.5;21.3;19;87;69;9.7;3.5
25/03/2011;5.8;1014.3;19.1;21.7;20.7;19.6;90.5;85;8.7;3.9
26/03/2011;23.2;1008.7;19.6;22.9;20.9;19.7;92.5;79;13.4;4.2
27/03/2011;9.2;1011.7;19.2;22.6;21.2;20;88.4;81;8.9;2.5
28/03/2011;6;1014.3;18.8;20.6;19.9;19.5;93.5;87;12.6;3
29/03/2011;17;1019;16.4;23.7;null;18.4;75.6;64;8.3;4.8
30/03/2011;null;1018.1;17.7;23.5;null;19.9;80.2;73;12;5.6
31/03/2011;null;1015.7;18.8;24;21.6;19.5;84.3;75;10.5;5.3
01/04/2011;0;1012.8;19.6;24.2;21.7;20.3;87.8;75;10.9;5.1
02/04/2011;0;1012.5;19.2;25.4;21.8;19.9;85.7;63;7.5;2
03/04/2011;0;1012.1;18.2;23.6;20.3;16.9;88.3;75;6.4;1.7
04/04/2011;0;1008.3;18.5;28.9;21.8;19.1;81.7;54;10.9;3.7
05/04/2011;.8;1011.3;15.7;24.5;19.6;17;78.1;58;12.8;2.4
06/04/2011;0;1014;13.3;26.1;20.4;15.2;67.9;33;10.1;3
07/04/2011;0;1017;15.9;24;20.5;16.4;75.7;55;8.3;2.8
08/04/2011;0;1015.8;14.8;26.3;20.9;15.1;69.7;45;9.3;3.3
09/04/2011;2;1018.5;16.4;25;20.5;16.8;78.3;63;14;2.9
10/04/2011;5;1017.5;18.4;25;21.2;17.9;84.1;71;7.1;2.6
11/04/2011;.2;1013.1;17.5;24.2;20.8;16.8;81.6;63;7.3;2.5
12/04/2011;0;1008.8;18.6;25.3;21.5;17.1;84.1;63;8.3;2
13/04/2011;0;1008.2;18.7;28.6;22.8;18;78.3;48;7.5;2.3
14/04/2011;8.2;1011.3;18.5;22.8;21.1;19.8;85.5;66;13.1;2.8
15/04/2011;26;1015.1;19;23.8;21.1;17.9;87.9;77;8.2;1.2
16/04/2011;.2;1016.5;18.8;22.5;21.1;21;86.9;75;20.3;3.7
17/04/2011;3;1015;19.4;24.2;21.4;18.5;88.7;78;14.8;6.6
18/04/2011;8.2;1017.6;17;22;20.3;20;81.9;62;7.8;1.8
19/04/2011;1.4;1020.8;14.2;22.4;18.8;14.2;76;58;9.7;2.9
20/04/2011;1.6;1014.1;19.1;24.4;22.3;20.2;82.1;72;12.7;7.3
21/04/2011;6.6;1009.1;18.6;26.6;22.7;19.2;78.8;56;13.8;3.6
22/04/2011;0;1011.1;19.7;25.5;22.8;21.4;83.1;71;14.6;4
23/04/2011;48.6;1012.1;18;22.6;20.4;19.5;86.6;73;13.1;3.1
24/04/2011;.8;1017.8;11.4;21.7;18;13.9;66.5;43;6.2;2.4
25/04/2011;0;1018.4;13.3;23.2;18.2;14;74.4;49;9.3;2.3
26/04/2011;0;1022.2;14.2;22.5;18;13;79.4;62;8.7;2.4
27/04/2011;.2;1022.8;17.2;23.6;21.3;18.3;77.6;65;12.9;6
28/04/2011;0;1020;16.8;23.8;21.7;19.9;74;65;14.2;6.4
29/04/2011;0;1016.2;18.3;24.1;21.6;18.4;81.7;67;10.1;4.1
30/04/2011;0;1011.3;17.8;24.2;20.3;17;85.7;70;6;1.9
01/05/2011;.6;1008.7;16.1;23.9;19.7;17.6;80.5;62;13.1;3.5
02/05/2011;0;1013.6;12.7;19.1;16.3;15.1;79.6;70;15.9;5.1
03/05/2011;22.8;1022.4;13.4;19.5;15.8;13.6;86.1;72;10.7;3.4
04/05/2011;.8;1019.4;14.5;21.3;17.1;13.2;84.9;70;4.6;1.5
05/05/2011;0;1013.2;12.9;24;18.1;12.1;74.2;42;12.1;2.1
06/05/2011;0;1015.3;13.5;22.7;18.1;13.6;75.4;57;11.6;3
07/05/2011;0;1018.2;12.7;21.1;16.8;10.8;78.1;57;11.1;2.4
08/05/2011;0;1013.9;15.7;21.5;18.7;14.7;82.7;75;10.4;2.1
09/05/2011;0;1018.3;12.2;21.3;18.3;15.5;69.7;48;8.6;3.2
10/05/2011;0;1015.3;14.6;20;19;16.9;75.9;60;14.2;6.8
11/05/2011;0;1014.7;16.4;22;18.8;15.8;85.8;75;11.1;1.5
12/05/2011;0;1017.8;15.7;22.8;18.8;16.6;82.7;57;8.8;2.8
13/05/2011;.2;1019.3;14.4;21.7;17.7;14.5;82.6;58;7.5;2.4
14/05/2011;.2;1019.3;13.9;20.3;18.6;16.7;74.5;59;12.7;6.6
15/05/2011;18.2;1018.9;14.1;19.6;17.2;14.8;82.6;68;14.1;5.5
16/05/2011;9.2;1021.2;11.8;21;18.3;15.3;66.5;50;12.7;5.4
17/05/2011;0;1021.5;11.5;20.8;16.8;12.3;72.2;50;10.8;2.8
18/05/2011;0;1020.3;13.4;18.4;16.5;12.5;82.5;62;14.1;4.8
19/05/2011;1.6;1018.9;14.6;20.5;18.3;15.9;79.3;69;13.4;5.9
20/05/2011;.2;1020.6;16.4;21.7;19.7;18.1;81.5;73;12.4;6.1
21/05/2011;0;1021.3;17.5;22.3;20.3;18.9;83.5;75;13.3;6.6
22/05/2011;0;1017.6;16.6;23.5;20.5;17;79;54;12.2;4.5
23/05/2011;4.2;1016.6;17.1;21.1;18.8;18.4;89.5;76;9.1;2
24/05/2011;.4;1018;16.7;22.1;19.6;17.2;83.6;75;11.3;4
25/05/2011;0;1013.1;18.6;23.1;21;19.8;86.5;68;11.6;4.5
26/05/2011;3;1019.4;14.4;22.8;16.9;14.7;85.3;68;12;4.1
27/05/2011;3.6;1023.2;11.9;19;15.4;13.2;80.8;51;10.9;3.5
28/05/2011;1;1023.2;10.9;20;15.1;12.3;77.2;47;11.9;3.3
29/05/2011;0;1022;10.7;20.5;15.6;13;73.8;45;8.4;3
30/05/2011;0;1021.6;10.4;19.9;16.6;13.2;67.8;47;7.8;2.2
31/05/2011;0;1018;10.9;19.7;15.9;11.4;73;56;8.9;1.5
01/06/2011;0;1017;11.7;20;14.9;12.4;81.7;58;8.9;2.7
02/06/2011;.2;1016.2;11.9;20.4;14.6;9.8;84.7;53;4.9;1.2
03/06/2011;.6;1015.6;12.2;17.4;14.8;12;84.9;67;8.3;2.9
04/06/2011;.2;1021.9;7.3;15;12.2;9.2;72.3;55;13.7;5.4
05/06/2011;0;1022.2;8;16.3;12.9;8;72.2;60;9.2;3.3
06/06/2011;0;1015;9;18.5;14.6;11.2;69.9;49;9.7;3.1
07/06/2011;7.6;1005.8;12.8;16.2;14.3;12;91.2;77;10.6;3.1
08/06/2011;19.2;1011.9;10.7;16.3;13.7;12.2;82.8;64;14.1;5.1
09/06/2011;0;1015.2;9.4;17.9;12.8;9.3;80.3;57;7.3;2
10/06/2011;0;1017.8;9;18.3;13.7;11;74;46;13.4;3.5
11/06/2011;0;1020.6;9.3;19.5;13.6;8.6;77.3;48;5.7;1.6
12/06/2011;0;1018.3;10.9;18.8;15.6;12.4;73.9;62;10.2;3.6
13/06/2011;.4;1020;10.8;20.3;15.7;12.2;73.4;50;12.5;3.3
14/06/2011;0;1024.6;9.8;18;13.3;8.5;80.2;62;14;3.8
15/06/2011;0;1020.1;12.8;19.2;16.6;12.2;78.5;66;14.2;5.9
16/06/2011;0;1016.2;13.5;19.5;16.8;14.6;81.2;64;7;3.1
17/06/2011;0;1014.2;13.8;19.5;16.2;12.6;85.8;67;11;2.4
18/06/2011;5.4;1016.6;15.2;18.8;16.5;13.6;92.4;87;6.1;1.9
19/06/2011;0;1010.8;16.4;19.7;18.1;16.4;89.3;82;15.6;6.6
20/06/2011;1;1011.1;17.3;20.9;19;17.5;89.8;80;10.4;3.3
21/06/2011;24.8;1014.6;16.2;20.6;17.9;17;90.3;78;8.8;3.3
22/06/2011;0;1021;13.6;18.8;17.6;17;77.3;70;13.6;7.5
23/06/2011;3.6;1015.9;16.3;19.2;17.8;17;90.9;82;13.9;6.5
24/06/2011;13.6;1018;11;18.5;14.3;13;80.8;70;10.4;3.2
25/06/2011;14.4;1019.2;12.5;15.3;13.5;12.2;93.4;82;6.7;1.5
26/06/2011;5.6;1017.5;8.6;14.2;11.9;11.3;80.9;54;15;5.5
27/06/2011;.4;1012.1;1.5;12.2;9.4;6.5;58.4;40;24;8.8
28/06/2011;0;1018.3;1.6;15.5;10.6;7.6;54.1;40;18.9;5.7
29/06/2011;0;1018;7.1;13.9;10.6;6.3;79.2;59;7.9;1.7
30/06/2011;3;1015.1;9.7;15.9;12;7.1;86.5;71;4.9;1.4
01/07/2011;0;1019;11.5;14.7;13.1;10.3;90.4;79;8.5;2.3
02/07/2011;25.8;1019.8;10.5;12.9;11.2;10.6;95.5;95;10;3.9
03/07/2011;9.4;1022.4;4;11.7;8.7;6.4;73.7;49;16.1;5.9
04/07/2011;.2;1022.2;1;10.8;7.1;4.8;65.8;50;13;4.9
05/07/2011;0;1019.8;2.1;12.6;7.3;3.1;71.8;40;11.2;2.6
06/07/2011;0;1019.8;2.8;13.4;8.4;5.4;68.5;47;11.9;3.6
07/07/2011;0;1020.6;3.9;13.3;8.3;4.3;75.6;51;9;2.5
08/07/2011;0;1020;4.2;17.3;10.4;5;68;37;7.3;2.2
09/07/2011;0;1017.9;8;16.2;12;8.2;77.3;59;8.5;3.5
10/07/2011;.2;1016.2;10.7;16.2;12.8;7.6;87.6;71;7.2;1.3
11/07/2011;1;1017.8;11.8;16.6;14.2;12.1;85.9;71;9.9;4.2
12/07/2011;0;1015.3;13.3;17.1;14.5;13;92.5;84;10;4.5
13/07/2011;.2;1015.3;13.9;20;15.3;13.7;91.5;79;11.8;2.1
14/07/2011;25.2;1014.8;13.3;15.1;13.9;12.9;95.8;95;10.5;3.8
15/07/2011;68.2;1011.8;14.7;21;15.9;13.8;92.4;77;13.9;5.1
16/07/2011;0;1009.5;14.3;22.6;16.5;13.5;87.2;58;11.5;4.7
17/07/2011;1;1020.1;13.5;18.9;14.5;14.1;93.3;85;12.8;3.2
18/07/2011;38.8;1019.8;13.4;15.3;14.6;14;93;84;15.4;7.8
19/07/2011;2.4;1018.8;14.2;17;15.3;14.2;93.1;86;13.4;6
20/07/2011;.2;1015.8;14;15.8;14.5;14.2;96.8;96;7.8;1.5
21/07/2011;61.8;1016.3;10.9;13.1;11.9;11.1;93.8;89;14.1;5.1
22/07/2011;.2;1025.3;10.5;14.7;12.3;11.3;89.3;77;9.9;3.6
23/07/2011;0;1027.9;12.3;16.7;14.1;10.5;88.9;81;9.3;4.5
24/07/2011;.2;1026.1;13.5;16.9;14.5;12.2;93.5;83;10.2;5.1
25/07/2011;0;1020.8;13.7;18.3;16.3;12.7;84.8;76;14.8;7.8
26/07/2011;0;1017;13.9;21;17.1;15.5;81.9;69;14.4;5.6
27/07/2011;1.8;1019.8;12.5;17;15;12.6;85.3;80;12.4;4.9
28/07/2011;.2;1012.6;14.3;16.5;15.6;14.5;91.8;84;11.4;3.3
29/07/2011;11.4;1006.7;15.2;17.5;16.4;15.4;93.2;87;12.4;2.6
30/07/2011;null;null;null;null;null;14.1;null;96;8.9;null
31/07/2011;null;null;null;null;null;null;null;null;null;null
01/08/2011;null;null;null;null;null;null;88.1;78;17.1;null
02/08/2011;null;null;null;15;null;11.7;66.2;54;26.7;null
03/08/2011;0;1010.1;6.6;14.5;11.5;9.7;72.8;54;21.5;7.3
04/08/2011;.8;1018.2;3.9;13.9;10.7;8.7;64.1;43;18.3;6.2
05/08/2011;0;1021;6.2;14.7;9.9;3.9;78.3;56;11.8;3.6
06/08/2011;0;1018.6;9.7;19.8;13.4;10;79;47;9;2.4
07/08/2011;1.6;1017.8;11.8;16.7;null;12.8;83.9;73;12.2;6.8
08/08/2011;null;null;null;null;null;null;null;null;null;null
09/08/2011;null;null;null;null;null;null;null;null;null;null
10/08/2011;null;null;null;null;null;null;null;81;12.9;null
11/08/2011;0;1018.1;14.3;18.6;16.3;15.1;88.3;79;14.2;6.5
12/08/2011;.2;1011.4;15;19.7;17;14.9;88.9;75;10.8;4.7
13/08/2011;0;1010.8;15.8;24.4;18;15;87.1;62;11.4;3.9
14/08/2011;0;1021.7;12.5;16.3;14.9;14;85.4;74;14.3;4.1
15/08/2011;7.8;1015.1;14.7;17.6;15.6;13.1;94.2;86;16.6;7.9
16/08/2011;.4;1007.5;16.1;22;18.1;15.5;88.8;68;10.8;4.3
17/08/2011;0;1012.9;13.8;24.5;17.8;16.6;77.4;58;12.8;4.4
18/08/2011;0;1013.9;13.8;16.3;15.5;14;89.5;81;17.2;7.3
19/08/2011;.8;null;null;25.4;null;14.6;92.1;60;16.8;null
20/08/2011;null;null;null;null;null;null;57.5;47;18.5;null
21/08/2011;.6;1028.4;3.5;12;8.2;5.4;73;51;12.2;4.1
22/08/2011;.4;1028.8;4.8;12.1;8.3;4.8;79.4;59;4.3;1.4
23/08/2011;6.2;1025.3;10.1;13.8;11.3;7.8;92.8;76;13.1;3
24/08/2011;9.4;1023.8;13.7;16.6;14.5;10.1;95.7;89;12.6;5.3
25/08/2011;4.8;1017.9;null;20.4;16.6;14.1;null;85;16.1;5.3
26/08/2011;3;1023.2;9.8;17.5;13.6;11.9;78;61;9.4;3.4
27/08/2011;0;1017.3;12.3;16.6;14.6;12.4;86.1;73;17.9;8.9
28/08/2011;11.4;1010.3;null;19.5;16.8;14.5;null;90;20.1;6.9
29/08/2011;22;1011.7;null;17.9;15.3;14.1;null;null;11.1;3.5
30/08/2011;10.4;1012.1;null;15.8;14.7;14.1;null;null;12.5;4.3
31/08/2011;2.4;1023.7;null;16.4;12.7;10.5;61.2;38;16.7;4.9
01/09/2011;0;1028.1;6.4;14.1;10.6;8.2;76.6;54;11.8;4
02/09/2011;0;1027.3;8.8;16.3;11.8;6.9;78.9;62;13.7;4.4
03/09/2011;0;1019.5;11.4;17.3;15;13.4;79.3;66;16.9;9.3
04/09/2011;0;1011.9;null;18.9;16.2;14.2;88.1;76;14.3;6.6
05/09/2011;0;1012.2;null;18.8;15.5;15.9;null;81;11.1;3.8
06/09/2011;9.8;1022;null;17.2;13.7;9.9;66.1;54;8.1;2.5
07/09/2011;0;1020.2;11.2;18;15.4;13.7;76.9;58;12;6.7
08/09/2011;0;1015;null;16.4;15.4;14.4;null;88;13;7.3
09/09/2011;6;1012.3;null;16.5;15.1;14.9;null;null;19.6;5.3
10/09/2011;10;1016.2;null;18.4;14.9;11;null;81;8.1;2.8
11/09/2011;0;1021.4;null;16.8;15;13.9;65.4;43;14;4.7
12/09/2011;0;1021.5;10.8;18;13.5;8.9;83.1;58;8.4;2.8
13/09/2011;0;1021.1;11.4;20.2;15;12.1;80.4;39;10.1;3.8
14/09/2011;0;1027.2;11.1;18;15.3;13.1;76.2;60;13.7;5.4
15/09/2011;1;1025;12;18.7;16.5;15.2;74.6;66;17.8;10.7
16/09/2011;0;1022.2;15.6;18.9;17.1;16.1;89.9;80;18.8;10.2
17/09/2011;0;1019.4;null;20.3;17.8;16.5;88.8;77;19.2;10.1
18/09/2011;0;1019.5;15.9;20.4;17.7;16.1;89.5;78;14.5;5.3
19/09/2011;0;1018.1;null;21.4;17.6;15.9;null;null;6.2;1.9
20/09/2011;.4;1016.7;null;17.4;15;13.9;null;null;10.9;4.1
21/09/2011;.2;1017.9;10.9;21;15.5;11.5;73.5;47;10.5;4.2
22/09/2011;0;1016.8;13.8;19.8;16.6;13.2;83.7;69;8.4;4.4
23/09/2011;0;1015.4;null;18.5;17.1;16.8;null;null;18.2;6.1
24/09/2011;.8;1022.9;13.5;18.3;15.8;14;85.3;72;18.2;4.5
25/09/2011;0;1025.5;11.5;18.8;16.6;15.1;72;66;15.9;7.9
26/09/2011;0;1022.1;12.4;20.2;17.2;14.7;73.7;56;15.2;4.7
27/09/2011;0;1021.3;null;21.8;17;13;72.1;59;8.8;2.7
28/09/2011;0;1019.6;12.2;20.6;17.8;14.8;69.8;59;14.3;5.1
29/09/2011;0;1012.1;12.8;21.7;19;17;67.5;55;17.3;6.5
30/09/2011;0;1012.8;14;22.8;18.9;17.6;73.4;56;9.7;3.2
01/10/2011;30.6;1011.3;13.9;20.6;18.7;17.8;74.1;63;15.8;3.2
02/10/2011;.4;1012.2;14.2;24.4;19.4;16.4;73;51;9.9;2.9
03/10/2011;0;1017.5;8.3;18.6;16.7;14.9;59;37;14.3;4.9
04/10/2011;0;1020.9;8.8;19.5;15.9;11.1;63.3;48;16.8;6
05/10/2011;16;1015;13.3;22.7;18.5;16.2;72.3;51;17.8;4.9
06/10/2011;2;1017.3;13.6;20.8;18.4;14.8;73.3;63;11;3.7
07/10/2011;0;1015.5;15.7;20.6;19;18;81.7;72;19.5;11
08/10/2011;0;1010.4;null;21.9;19.9;19.1;null;null;22.1;6.6
09/10/2011;.4;1006.5;null;28.2;21.6;17.9;null;null;13.9;3.1
10/10/2011;9.4;1008.2;null;26;20.8;19.2;null;null;10.2;3.2
11/10/2011;0;1014.5;null;23;19.8;18.6;null;null;9.2;3.5
12/10/2011;0;1014;null;20.4;19;17.6;null;null;15.9;9
13/10/2011;1.8;1007.2;null;21.6;19.7;19.1;null;69;20;8.9
14/10/2011;.2;1005.5;null;25.8;21;18.8;null;null;13.3;4.9
15/10/2011;0;1010.7;null;20.2;17.8;15.1;null;null;8.5;3.2
16/10/2011;2;1010.4;null;22.6;19.6;17.3;null;null;11.3;3.9
17/10/2011;.2;1015.1;null;23.3;19.4;14.5;null;null;9.8;3.2
18/10/2011;0;1020.2;null;21.4;19.1;18;null;null;12.2;5.8
19/10/2011;0;1021.4;null;21.7;19.3;17.3;null;null;15.2;9.1
20/10/2011;.6;1021.4;null;20;18.1;16.4;null;null;16.7;9.1
21/10/2011;0;1019.3;null;21.5;19.4;17.4;null;null;16;9
22/10/2011;0;1017.3;null;22.4;19.5;17;null;null;16.1;6.8
23/10/2011;0;1016.7;null;22.2;19.6;17.6;null;null;10.8;5
24/10/2011;.2;1012.7;null;21.4;18.9;18;null;null;11.2;4.5
25/10/2011;29.8;1006;null;20.4;18.7;17.8;null;null;11.5;3.7
26/10/2011;28.8;1006.9;null;20.6;18.1;17.1;null;null;14.2;4.1
27/10/2011;.8;1009.9;null;23.9;18.9;14.5;null;null;14.5;3.7
28/10/2011;0;1010.8;null;26.1;19.6;12.6;null;48;10.6;3.3
29/10/2011;0;1008.9;null;22;19.3;16.9;null;null;10.6;3.9
30/10/2011;.4;1012.2;null;22;18.5;16.5;null;null;14.3;5.6
31/10/2011;.8;1020.6;null;21.3;17.2;13.7;null;null;9.8;4.1
01/11/2011;0;1024.2;null;20.6;18.3;16.6;null;null;11.6;5.9
02/11/2011;.2;1024.3;null;21.8;19.1;16.9;null;85;13.3;8
